Type dm7_i M_i
Ia 0.20698778068943824 -18.191527252375057
Ia 0.24096602083563212 -18.7090700835919
Ia 0.08732862930813567 -18.541573416641754
Ia 0.06575315396625214 -18.9141543473294
Ia 0.14994173277575484 -19.19288768258351
Ia 0.16865542670167244 -18.184615137092475
Ia 0.22978495304120727 -18.69426786885206
Ia 0.08975860450554052 -18.1905830032926
Ia 0.1365736045453012 -19.272740605235164
Ia 0.23717197928694844 -18.425209699575962
Ia 0.18795753265839465 -18.71755971979614
Ia 0.20895432693329496 -19.409611445874948
Ia 0.2987487996011602 -18.771253337170485
Ia 0.06862432724502199 -18.32980769420485
Ia 0.20967850183881254 -19.02179757869623
Ia 0.16456197999700706 -19.05201176359977
Ia 0.278819858795174 -18.74634905614782
Ia 0.08417092636461732 -18.752739254708576
Ia 0.31752732058526334 -19.12887844650018
Ia 0.24168442988079875 -18.81253454392373
Ia 0.22124453215257134 -18.20191403516485
Ia 0.16906597416722136 -19.510234033379156
Ia 0.262404933413503 -18.57576359511623
Ia 0.28065844643218085 -19.04476568685472
Ia 0.292770876689616 -19.095934282325686
Ia 0.3284423246861472 -18.53363554176617
Ia 0.10353690686849149 -18.205168136295715
Ia 0.2461456161528197 -18.55324084517741
Ia 0.22663623150737067 -19.536731173270354
Ia 0.32209755207299295 -19.12624841282571
Ia 0.11878233538859462 -18.557112636510645
Ia 0.09715633977192084 -19.181388214694845
Ia 0.15711374414227564 -18.91405144957018
Ia 0.27974937761723595 -17.717754786643965
Ia 0.47165443310606037 -20.825412251093244
Ia 0.0727807501052844 -18.546385767649642
Ia 0.13714335660655763 -19.104093273171028
Ia 0.13805191030657227 -19.37802418692389
Ia 0.22822203961809961 -18.664386563479994
Ia 0.14344400283258807 -18.962465770027656
Ia 0.18775914039141384 -18.895661463753974
Ia 0.1891299050124502 -19.151439949629598
Ia 0.1435214554118751 -18.737086046907116
Ia 0.12223953725719028 -18.410554302802883
Ia 0.2013508945164304 -18.46891868043083
Ia 0.031675810577507235 -18.294293018258237
Ia 0.23063787818166048 -18.518358895219365
Ia 0.3499315487695043 -18.86971593541597
Ia 0.2137500053819661 -18.598029398837404
Ia 0.1719342723425008 -19.029152167652338
Ia 0.2685620834847633 -17.728017156891458
Ia 0.22403304762936926 -18.960619949207995
Ia 0.2006263588782069 -19.43209184788686
Ia 0.21740305233726076 -19.4031415198485
Ia 0.21321705202903019 -18.622362427226545
Ia 0.19570484828934198 -19.44506865439554
Ia 0.10411548316359287 -19.007672685109174
Ia 0.1920013446631934 -18.27480929612713
Ia 0.3092461956396555 -19.59916825051519
Ia 0.16257611482977552 -18.68526657791586
Ia 0.2833956737095775 -18.57297359339126
Ia 0.05526121215056534 -18.331865269852617
Ia 0.10145541687262494 -19.11403547864074
Ia 0.037691672568524126 -18.5305152955979
Ia 0.23827796665504053 -18.920791924292203
Ia 0.22618446822261618 -19.8657407012252
Ia 0.10556196878673774 -18.69343592887309
Ia 0.29297013474527844 -18.84692490063097
Ia 0.1187925411425681 -18.37063571535311
Ia 0.10364479560769624 -19.10051650095417
